#,单词,音标,解释,笔记,选中次数,正确次数,是否训练
0,a body politic,,,政治体,0,0,1
1,A.D.,,abbr. Anno Domini 〈美〉公元,,0,0,1
2,a.m.,,"adv. 午前, 上午",,1,1,1
3,abandon,英:/əˈbændən/ 美:/əˈbændən/,v. （不顾责任、义务等）离弃；（不得已而）舍弃；停止（支持或帮助）；中止；【文】陷入，沉湎于（某种情感） n. 【正式】放任；放纵,,0,0,1
4,abandonment,英:/əˈbændəndmənt/ 美:/ə'bændənmənt/,n. 放弃；自暴自弃；放纵,,1,1,1
5,abasement,/ə'beismənt/,n. 降低,,0,0,1
6,abbreviation,英:/əˌbriːviˈeɪʃn/ 美:/əˌbriːviˈeɪʃn/,n. 缩写,,0,0,1
7,abeyance,英:/əˈbeɪəns/ 美:/əˈbeɪəns/,n. 中止，停顿；归属待定，暂搁,,0,0,1
8,abhor,英:/əbˈhɔː(r)/ 美:/əbˈhɔːr/,vt. 痛恨，憎恶,,0,0,1
9,abide,英:/əˈbaɪd/ 美:/əˈbaɪd/,vt. 忍受，容忍；停留 vi. 持续；停留；忍受,,0,0,1
10,ability,英:/əˈbɪləti/ 美:/əˈbɪləti/,n. 能力，能耐；才能,,0,0,1
11,able,英:/'eɪb(ə)l/ 美:/'ebl/,adj. 能干的；有能力的；能,,0,0,1
12,abnormal,英:/æbˈnɔːml/ 美:/æbˈnɔːrml/,adj. 反常的，不规则的；变态的,,0,0,1
13,aboard,英:/əˈbɔːd/ 美:/əˈbɔːrd/,adv. 在火车上；在飞机上；在船上 prep. 在…上,,0,0,1
14,abolish,英:/əˈbɒlɪʃ/ 美:/əˈbɑːlɪʃ/,vt. 废除，废止；取消，革除,,0,0,1
15,abolition,英:/ˌæbəˈlɪʃn/ 美:/ˌæbəˈlɪʃn/,n. 废除；废止,,0,0,1
16,aboriginal,英:/æbə'rɪdʒɪn(ə)l/ 美:/ˌæbə'rɪdʒənl/,adj. (据文献记载)最早就存在的，最早就有的,,0,0,1
17,abortion,英:/ə'bɔːʃ(ə)n/ 美:/ə'bɔrʃən/,n. 流产，小产；流产的胎儿,,0,0,1
18,abortive,英:/əˈbɔːtɪv/ 美:/əˈbɔːrtɪv/,adj. 失败的；流产的；堕胎的,,0,0,1
19,abound,英:/əˈbaʊnd/ 美:/əˈbaʊnd/,vi. 充满；富于,,0,0,1
